city,lon,lat,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,rain_1h,clouds_all,sunrise,sunset
Toronto,-79.4163,43.7001,804,Clouds,overcast clouds,6.55,1.36,5.73,7.36,1010,78,10000,11.18,260,0,100,1732623986,1732657455
Vancouver,-123.1193,49.2497,803,Clouds,broken clouds,3.85,1.48,2.64,4.53,1021,83,10000,2.57,10,0,75,1732635626,1732666797
Montreal,-73.5878,45.5088,500,Rain,light rain,0.56,-2.43,-0.54,1.16,1005,97,9656,2.57,50,0.89,100,1732622929,1732655713
Calgary,-114.0853,51.0501,801,Clouds,few clouds,-9.9,-15.54,-12.03,-8.87,1016,89,10000,3.13,205,0,18,1732633893,1732664192
Ottawa,-75.6981,45.4112,701,Mist,mist,1.07,-1.28,0.58,2.54,1004,94,9656,2.06,120,0.25,100,1732623417,1732656239
Edmonton,-113.4687,53.5501,803,Clouds,broken clouds,-12.83,-19.62,-15.12,-12.55,1019,87,10000,3.6,160,0,75,1732634426,1732663364
Red Deer,-113.802,52.2668,701,Mist,mist,-20.73,-20.73,-20.73,-20.73,1018,84,8047,1.03,190,0,0,1732634145,1732663805
Lethbridge,-112.8186,49.7,741,Fog,fog,-15.94,-15.94,-15.94,-15.73,1019,85,402,1.03,0,0,20,1732633257,1732664220
Fort McMurray,-111.381,56.7268,804,Clouds,overcast clouds,-14.27,-21.27,-14.27,-14.23,1016,78,10000,3.6,120,0,100,1732634950,1732661837
Grande Prairie,-118.8027,55.1667,801,Clouds,few clouds,-22.9,-22.9,-22.9,-22.9,1017,84,10000,1.03,0,0,20,1732636203,1732664147
Surrey,-122.8251,49.1064,803,Clouds,broken clouds,3.03,1.01,2.55,3.99,1021,93,10000,2.06,350,0,59,1732635522,1732666759
Burnaby,-122.9526,49.2664,803,Clouds,broken clouds,3.51,1.07,2.53,4.49,1021,85,10000,2.57,10,0,75,1732635590,1732666753
Richmond,-123.1368,49.17,803,Clouds,broken clouds,4.23,1.93,3.05,5.42,1021,87,10000,2.57,10,0,75,1732635612,1732666819
Kelowna,-119.4857,49.8831,804,Clouds,overcast clouds,1.04,-2.33,0.49,1.18,1020,92,10000,3.09,10,0,100,1732634903,1732665776
Kamloops,-120.3192,50.6665,804,Clouds,overcast clouds,-4.45,-9.85,-4.45,-3.24,1021,74,10000,4.12,290,0,100,1732635295,1732665784
Winnipeg,-97.147,49.8844,804,Clouds,overcast clouds,-6.88,-13.25,-7.21,-6.08,1020,91,10000,4.63,310,0,100,1732629536,1732660417
Brandon,-99.9531,49.8469,804,Clouds,overcast clouds,-19.84,-26.84,-19.84,-19.84,1024,77,10000,4.12,260,0,100,1732630202,1732661099
Steinbach,-96.6845,49.5258,804,Clouds,overcast clouds,-5.46,-9.59,-5.46,-5.46,1020,89,2498,2.58,294,0,100,1732629340,1732660391
Thompson,-97.8558,55.7435,600,Snow,light snow,-9.91,-14.86,-9.91,-9.91,1026,92,10000,2.57,70,0,75,1732631359,1732658934
Fredericton,-66.6656,45.9454,804,Clouds,overcast clouds,4.55,1.9,4.45,4.65,1013,88,10000,3.09,90,0,100,1732621353,1732653966
Moncton,-64.8019,46.1159,701,Mist,mist,5.27,2.43,5.27,6.56,1014,93,9656,3.6,30,0,75,1732620939,1732653485
Saint John,-66.0677,45.2727,804,Clouds,overcast clouds,6.57,4.01,6.57,6.57,1013,81,10000,3.6,100,0,100,1732621076,1732653956
St. John's,-52.7093,47.5649,741,Fog,fog,5.06,0.54,4.66,5.71,1005,97,604,7.15,17,0,100,1732618336,1732650283
Corner Brook,-57.9484,48.9667,804,Clouds,overcast clouds,6.27,4.18,6.27,6.27,1012,70,10000,2.79,38,0,100,1732619905,1732651229
Mount Pearl,-52.7813,47.5166,741,Fog,fog,5.14,1.21,4.19,5.25,1005,97,604,5.66,10,0,100,1732618343,1732650310
Halifax,-63.5724,44.6453,803,Clouds,broken clouds,7.28,4.35,5.94,8.03,1014,80,10000,4.63,50,0,75,1732620356,1732653478
Sydney,-60.1831,46.1351,804,Clouds,overcast clouds,7.23,4.82,6.87,7.79,1012,83,10000,3.6,50,0,100,1732619834,1732652373
Dartmouth,-63.5772,44.6713,803,Clouds,broken clouds,7.09,4.12,5.69,7.78,1014,80,10000,4.63,50,0,75,1732620362,1732653474
Truro,-63.2654,45.3669,804,Clouds,overcast clouds,5.56,2.48,5.56,6.14,1014,88,10000,4.12,10,0,99,1732620422,1732653265
Hamilton,-79.9496,43.2334,803,Clouds,broken clouds,6.19,1.36,5.91,7.07,1012,76,10000,9.26,240,0,75,1732624029,1732657668
Mississauga,-79.6583,43.5789,803,Clouds,broken clouds,6.45,5.27,5.77,7.68,1010,83,10000,1.79,264,0,71,1732624022,1732657535
Brampton,-79.7663,43.6834,803,Clouds,broken clouds,5.45,0.38,4.73,7.03,1010,89,10000,9.26,280,0,75,1732624067,1732657542
Kitchener,-80.5112,43.4254,804,Clouds,overcast clouds,4.44,1.16,4.16,4.95,1012,91,10000,4.02,270,0,100,1732624199,1732657768
London,-81.233,42.9834,804,Clouds,overcast clouds,4,-1.2,3.46,4.44,1014,72,10000,8.23,260,0,100,1732624292,1732658020
Windsor,-83.0165,42.3001,800,Clear,clear sky,6.17,1.07,5.03,7.2,1017,56,10000,10.29,260,0,0,1732624600,1732658569
