city,lon,lat,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,rain_1h,clouds_all,sunrise,sunset
Toronto,-79.4163,43.7001,800,Clear,clear sky,5.67,0.41,5.05,6.4,1009,76,10000.0,10.28,300,0.0,0,1732364568,1732398361
Vancouver,-123.1193,49.2497,520,Rain,light intensity shower rain,6.73,4.5,5.76,7.58,1007,88,10000.0,3.13,124,18.86,75,1732376168,1732407743
Montreal,-73.5878,45.5088,804,Clouds,overcast clouds,5.6,1.8,5.08,6.12,1000,76,10000.0,5.66,300,0.0,100,1732363499,1732396632
Calgary,-114.0853,51.0501,804,Clouds,overcast clouds,-10.67,-17.67,-11.34,-10.03,1019,85,10000.0,8.23,350,0.0,100,1732374418,1732405156
Edmonton,-113.4687,53.5501,601,Snow,snow,-11.74,-17.76,-12.31,-11.22,1022,87,298.0,3.13,44,0.0,100,1732374923,1732404354
Ottawa,-75.6981,45.4112,804,Clouds,overcast clouds,6.25,4.33,5.24,6.8,1002,85,10000.0,2.57,260,0.0,100,1732363988,1732397157
Winnipeg,-97.147,49.8844,804,Clouds,overcast clouds,-7.36,-11.97,-7.96,-7.01,1019,85,10000.0,2.68,74,0.0,100,1732370072,1732401370
Quebec City,-71.2145,46.8123,804,Clouds,overcast clouds,4.01,4.01,3.12,4.19,996,95,10000.0,1.03,200,0.0,100,1732363183,1732395809
Hamilton,-79.9496,43.2334,801,Clouds,few clouds,5.12,1.67,4.8,6.05,1011,80,10000.0,4.63,270,0.0,20,1732364614,1732398571
Kitchener,-80.5112,43.4254,803,Clouds,broken clouds,4.06,2.03,3.84,4.21,1011,91,10000.0,2.24,270,0.0,75,1732364783,1732398672
Halifax,-63.5724,44.6453,501,Rain,moderate rain,8.49,3.19,7.61,9.0,974,94,10000.0,15.43,220,2.37,100,1732360932,1732394390
Victoria,-123.3693,48.4329,500,Rain,light rain,8.92,6.88,7.98,9.47,1007,84,10000.0,3.6,100,0.34,75,1732376048,1732407983
Regina,-104.6178,50.4501,601,Snow,snow,-11.03,-18.03,-11.09,-10.94,1015,84,805.0,7.72,90,0.0,100,1732371999,1732403029
Saskatoon,-106.6345,52.1168,601,Snow,snow,-9.43,-16.43,-11.12,-9.35,1017,86,604.0,6.17,80,0.0,100,1732372896,1732403101
St. John's,-52.7093,47.5649,501,Rain,moderate rain,5.89,1.59,5.66,6.75,1002,96,3219.0,7.2,130,0.25,100,1732358890,1732391217
Niagara Falls,-79.0663,43.1001,804,Clouds,overcast clouds,7.4,3.08,6.54,8.38,1010,73,10000.0,8.75,280,0.0,100,1732364379,1732398382
Lethbridge,-112.8186,49.7,601,Snow,snow,-10.94,-17.94,-10.94,-9.73,1017,85,1609.0,7.2,320,0.0,100,1732373795,1732405171
Kelowna,-119.4857,49.8831,803,Clouds,broken clouds,6.74,6.74,6.49,6.74,1007,73,10000.0,1.03,120,0.0,75,1732375439,1732406728
Red Deer,-113.802,52.2668,804,Clouds,overcast clouds,-11.73,-18.73,-11.73,-11.51,1020,85,3621.0,4.63,350,0.0,100,1732374657,1732404781
Brandon,-99.9531,49.8469,804,Clouds,overcast clouds,-9.84,-16.84,-9.84,-9.84,1019,85,9656.0,4.63,100,0.0,100,1732370737,1732402051
Moncton,-64.8019,46.1159,310,Drizzle,light intensity drizzle rain,5.97,1.69,5.27,6.85,969,99,2012.0,7.2,330,0.7,100,1732361505,1732394408
Fredericton,-66.6656,45.9454,501,Rain,moderate rain,3.01,-2.66,3.01,3.47,980,90,10000.0,8.75,340,1.13,100,1732361920,1732394888
Abbotsford,-122.2526,49.058,501,Rain,moderate rain,8.38,8.38,7.14,9.12,1007,80,10000.0,0.15,293,2.13,97,1732375917,1732407578
Barrie,-79.6663,44.4001,804,Clouds,overcast clouds,3.91,-0.1,3.16,4.73,1009,90,10000.0,5.14,290,0.0,100,1732364754,1732398296
Sherbrooke,-71.8991,45.4001,701,Mist,mist,2.14,-1.0,2.1,4.11,997,98,8047.0,3.09,290,0.0,100,1732363073,1732396247
Sudbury,-80.99,46.49,804,Clouds,overcast clouds,2.81,0.56,1.54,2.81,1009,83,10000.0,2.24,315,0.0,100,1732365467,1732398218
Thunder Bay,-89.3168,48.4001,804,Clouds,overcast clouds,-1.05,-6.0,-1.05,-1.01,1016,64,10000.0,4.63,330,0.0,100,1732367861,1732399822
Saint John,-66.0677,45.2727,701,Mist,mist,2.57,-3.86,2.57,2.57,978,93,4828.0,10.8,340,1.33,100,1732361648,1732394872
Charlottetown,-63.1267,46.2352,501,Rain,moderate rain,7.97,3.26,7.33,8.29,976,95,6437.0,11.18,149,1.33,100,1732361126,1732393983
Whitehorse,-135.0538,60.7161,801,Clouds,few clouds,-18.64,-18.64,-18.72,-17.77,1035,84,10000.0,0.0,0,0.0,20,1732382686,1732406954
Yellowknife,-114.3525,62.456,600,Snow,light snow,-14.71,-14.71,-14.71,-14.71,1034,78,10000.0,0.0,0,0.0,75,1732378594,1732401108
Iqaluit,-68.5145,63.7506,701,Mist,mist,-3.5,-3.5,-3.5,-3.15,1013,92,1006.0,1.03,0,0.0,100,1732368339,1732389356
Kamloops,-120.3192,50.6665,803,Clouds,broken clouds,3.22,3.22,2.64,4.53,1007,89,10000.0,0.0,0,0.0,75,1732375823,1732406744
Nanaimo,-123.936,49.1663,803,Clouds,broken clouds,7.16,3.39,6.72,7.87,1006,91,10000.0,6.69,120,0.0,75,1732376345,1732407958
Chilliwack,-121.9443,49.1747,804,Clouds,overcast clouds,7.79,7.79,7.77,8.03,1008,90,10000.0,0.51,240,0.0,98,1732375869,1732407478
Prince George,-122.753,53.9166,600,Snow,light snow,-9.73,-16.73,-10.21,-9.31,1020,87,10000.0,6.17,340,0.0,100,1732377258,1732406477
Medicine Hat,-110.6683,50.0501,601,Snow,snow,-6.56,-10.88,-7.45,-5.94,1012,84,2414.0,2.57,320,0.0,100,1732373359,1732404574
Drummondville,-72.4824,45.8834,804,Clouds,overcast clouds,3.34,3.34,2.8,3.34,998,89,10000.0,0.45,272,0.0,100,1732363305,1732396295
Fort McMurray,-111.381,56.7268,600,Snow,light snow,-13.27,-13.27,-13.27,-13.23,1028,85,1207.0,1.03,0,0.0,100,1732375404,1732402872
Peterborough,-78.3162,44.3001,801,Clouds,few clouds,3.94,-0.52,3.63,3.97,1007,87,10000.0,6.17,290,0.0,20,1732364411,1732397990
Laval,-73.692,45.57,804,Clouds,overcast clouds,5.99,3.63,5.51,6.55,1000,77,10000.0,3.09,310,0.0,100,1732363536,1732396645
Gatineau,-75.7016,45.4772,804,Clouds,overcast clouds,6.31,4.4,5.38,6.94,1002,85,10000.0,2.57,250,0.0,100,1732364001,1732397145
Trois-Rivières,-72.5491,46.3501,804,Clouds,overcast clouds,4.4,0.77,3.59,4.97,998,78,10000.0,4.63,310,0.0,100,1732363412,1732396220
Brossard,-73.4658,45.4501,804,Clouds,overcast clouds,6.21,2.57,5.7,6.73,1000,75,10000.0,5.66,300,0.0,100,1732363459,1732396614
Richmond Hill,-79.4372,43.8711,804,Clouds,overcast clouds,5.01,1.12,4.65,6.27,1009,80,10000.0,5.51,299,0.0,100,1732364604,1732398336
Brampton,-79.7663,43.6834,802,Clouds,scattered clouds,4.88,1.37,4.43,5.97,1010,80,10000.0,4.63,290,0.0,40,1732364649,1732398448
