City,Lon,Lat,Weather ID,Weather Main,Weather Description,Temp (°C),Feels Like (°C),Temp Min (°C),Temp Max (°C),Pressure (hPa),Humidity (%),Visibility (m),Wind Speed (m/s),Wind Deg (°),Rain (1h),Clouds All (%),Sunrise,Sunset
New York,-74.006,40.7143,800,Clear,clear sky,12.58,10.96,11.2,13.45,1017,41,10000,3.09,270,0.0,0,1732535702,1732570303
Los Angeles,-118.2437,34.0522,721,Haze,haze,18.73,18.07,17.84,20.07,1020,54,10000,2.06,110,0.0,20,1732545344,1732581900
Chicago,-87.65,41.85,804,Clouds,overcast clouds,9.15,7.69,7.87,9.49,1012,84,10000,2.68,313,0.0,100,1732539168,1732573387
Houston,-95.3633,29.7633,802,Clouds,scattered clouds,29.11,31.38,28.3,30.17,1016,61,10000,7.2,200,0.0,40,1732539302,1732576957
Phoenix,-112.074,33.4484,803,Clouds,broken clouds,24.16,23.34,22.55,25.32,1018,27,10000,1.54,0,0.0,75,1732543782,1732580500
Philadelphia,-75.1638,39.9523,803,Clouds,broken clouds,13.09,11.86,12.01,14.14,1016,54,10000,3.6,230,0.0,75,1732535857,1732570703
San Antonio,-98.4936,29.4241,800,Clear,clear sky,28.71,29.4,27.86,30.06,1016,51,10000,0.45,96,0.0,0,1732540012,1732577749
San Diego,-117.1573,32.7153,802,Clouds,scattered clouds,22.95,22.48,19.01,26.1,1020,45,10000,4.12,310,0.0,40,1732544906,1732581816
Dallas,-96.7836,32.7668,804,Clouds,overcast clouds,11.33,10.27,11.08,12.24,1021,67,10000,8.23,340,0.0,100,1732540020,1732576920
San Jose,-121.895,37.3394,701,Mist,mist,12.47,12.2,11.59,13.65,1016,93,2012,2.57,350,0.0,100,1732546682,1732582314
Austin,-97.7431,30.2672,800,Clear,clear sky,23.93,23.79,21.48,25.71,1019,54,10000,4.92,56,0.0,3,1732539935,1732577466
Jacksonville,-81.6556,30.3322,801,Clouds,few clouds,23.13,22.7,21.66,25.02,1020,46,10000,2.06,90,0.0,20,1732536080,1732573598
Fort Worth,-97.3208,32.7254,804,Clouds,overcast clouds,10.41,9.26,9.86,10.96,1022,67,10000,9.26,330,0.0,100,1732540144,1732577054
Columbus,-82.9988,39.9612,804,Clouds,overcast clouds,14.66,14.32,13.66,15.29,1011,82,10000,4.63,220,0.0,100,1732537741,1732572581
Charlotte,-80.8431,35.2271,801,Clouds,few clouds,20.26,19.65,19.23,21.59,1017,50,10000,2.57,210,0.0,20,1732536522,1732572765
Indianapolis,-86.158,39.7684,804,Clouds,overcast clouds,15.79,15.57,15.16,16.27,1010,82,10000,4.63,230,0.0,100,1732538469,1732573370
San Francisco,-122.4194,37.7749,701,Mist,mist,12.66,12.28,11.57,14.04,1016,88,4023,3.58,23,0.0,100,1732546872,1732582376
Seattle,-122.3321,47.6062,804,Clouds,overcast clouds,8.11,7.45,7.04,9.23,1014,94,10000,1.54,290,0.0,100,1732548589,1732580617
Denver,-104.9847,39.7392,800,Clear,clear sky,8.97,8.97,7.6,10.18,1019,35,10000,0.89,188,0.0,2,1732542986,1732577892
Washington,-120.5015,47.5001,804,Clouds,overcast clouds,2.78,2.78,2.19,3.14,1016,83,10000,1.19,75,0.0,100,1732548127,1732580201
Boston,-71.0598,42.3584,800,Clear,clear sky,9.92,8.91,8.61,10.81,1014,49,10000,2.24,295,0.0,1,1732535270,1732569320
El Paso,-106.2005,31.8001,803,Clouds,broken clouds,22.66,21.4,21.56,23.3,1018,16,10000,4.12,250,0.0,75,1732542157,1732579304
Nashville,-86.7844,36.1659,804,Clouds,overcast clouds,19.87,19.84,18.83,20.4,1013,74,10000,5.14,220,0.0,100,1732538080,1732574059
Detroit,-83.0458,42.3314,804,Clouds,overcast clouds,9.8,8.91,8.6,10.06,1009,82,10000,2.06,150,0.0,100,1732538144,1732572201
