city,lon,lat,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,rain_1h,clouds_all,sunrise,sunset
"Philadelphia, Pennsylvania",-75.1636,39.9524,803,Clouds,broken clouds,15.74,14.83,14.89,16.23,1012,56,10000,1.79,286,0,74,1732622322,1732657077
"Boston, Massachusetts",-71.0583,42.3603,500,Rain,light rain,7.25,5.93,4.81,8.37,1007,89,9656,2.06,20,0.3,100,1732621739,1732655689
"Pittsburgh, Pennsylvania",-79.9901,40.4417,802,Clouds,scattered clouds,8.31,4.71,7.68,9.45,1017,64,10000,7.2,260,0,40,1732623560,1732658156
"Newark, New Jersey",-74.1724,40.7357,802,Clouds,scattered clouds,14.75,14,13.49,15.61,1010,66,10000,6.17,300,0,40,1732622211,1732656712
"Los Angeles, California",-118.2445,34.0549,721,Haze,haze,19.01,18.59,17.16,20.07,1020,62,10000,4.12,140,0,100,1732631799,1732668283
"Chicago, Illinois",-87.6244,41.8756,801,Clouds,few clouds,3.91,-0.77,2.85,4.44,1021,48,10000,6.69,260,0,20,1732625634,1732659748
"Houston, Texas",-95.3677,29.7589,803,Clouds,broken clouds,18.53,18.06,17.22,20.03,1021,62,10000,1.54,30,0,75,1732625752,1732663348
"Phoenix, Arizona",-112.0773,33.4486,803,Clouds,broken clouds,23.02,22.08,21.49,24.28,1017,27,10000,2.57,130,0,75,1732630236,1732666885
"San Antonio, Texas",-71.6132,-33.5809,800,Clear,clear sky,19.33,18.57,19.33,19.33,1017,48,10000,9.77,230,0,0,1732613427,1732664267
"San Diego, California",-117.1628,32.7174,803,Clouds,broken clouds,20.61,20.16,18.15,23.81,1020,55,10000,5.14,300,0,75,1732631361,1732668202
"Dallas, Texas",-96.7969,32.7763,800,Clear,clear sky,14.38,13.15,13.27,15.77,1022,49,10000,1.34,106,0,0,1732626478,1732663307
"San Jose, California",120.9891,15.7917,801,Clouds,few clouds,22.29,22.9,22.29,22.29,1011,89,10000,2.17,63,0,11,1732658715,1732699348
"Austin, Texas",-97.7437,30.2711,800,Clear,clear sky,17.13,16.2,15.81,18.73,1022,50,10000,3.09,0,0,0,1732626385,1732663854
"Jacksonville, Florida",-81.6557,30.3322,802,Clouds,scattered clouds,25.07,25.09,23.93,26.67,1017,56,10000,5.14,240,0,40,1732622530,1732659986
"Fort Worth, Texas",-97.3327,32.7532,800,Clear,clear sky,14.34,13.06,13.03,15.99,1021,47,10000,3.09,160,0,0,1732626603,1732663439
"Columbus, Ohio",-84.9877,32.461,804,Clouds,overcast clouds,19.59,19.75,18.73,20.97,1017,82,10000,2.06,290,0,100,1732623601,1732660515
"Charlotte, North Carolina",-80.8431,35.2271,804,Clouds,overcast clouds,19.43,19.07,18.73,20.05,1016,63,10000,2.74,341,0,100,1732622979,1732659147
"San Francisco, California",-122.4192,37.7793,804,Clouds,overcast clouds,13.02,12.75,11.65,14.16,1021,91,10000,2.06,160,0,100,1732633334,1732668753
"Indianapolis, Indiana",-86.1584,39.7683,801,Clouds,few clouds,6.18,2.75,5.29,6.84,1022,48,10000,5.14,250,0,20,1732624933,1732659745
"Seattle, Washington",-122.3301,47.6038,803,Clouds,broken clouds,7.02,5.93,5.66,7.94,1021,85,10000,1.79,351,0,75,1732635069,1732666975
"Denver, Colorado",-104.9847,39.7392,803,Clouds,broken clouds,11.94,10.23,10.65,13.28,1008,40,10000,1.34,34,0,84,1732629450,1732664266
